Longitude	Latitude	Mean_HF	Median_HF	Total_Erro
-131	-87	100	100	41.5
-129	-87	100	100	41.5
-127	-87	100	100	41.5
-125	-87	100	100	41.5
-123	-87	100	100	41.5
-121	-87	100	100	41.5
-119	-87	100	100	41.5
-117	-87	100	100	41.5
-115	-87	100	100	41.5
-113	-87	100	100	41.5
-111	-87	100	100	41.5
-109	-87	100	100	41.5
-107	-87	100	100	41.5
-105	-87	100	100	41.5
-103	-87	100	100	41.5
-101	-87	100	100	41.5
-99	-87	100	100	41.5
-97	-87	100	100	41.5
-95	-87	100	100	41.5
-93	-87	100	100	41.5
-91	-87	100	100	41.5
-89	-87	100	100	41.5
-87	-87	100	100	41.5
-85	-87	100	100	41.5
-83	-87	100	100	41.5
-81	-87	100	100	41.5
-79	-87	100	100	41.5
-77	-87	100	100	41.5
-75	-87	100	100	41.5
-73	-87	100	100	41.5
-71	-87	100	100	41.5
-69	-87	100	100	41.5
-67	-87	100	100	41.5
-65	-87	100	100	41.5
-63	-87	100	100	41.5
-61	-87	100	100	41.5
-59	-87	100	100	41.5
-57	-87	100	100	41.5
-55	-87	100	100	41.5
-53	-87	100	100	41.5
-51	-87	100	100	41.5
-49	-87	100	100	41.5
-47	-87	100	100	41.5
-45	-87	100	100	41.5
-43	-87	100	100	41.5
-41	-87	100	100	41.5
-39	-87	100	100	41.5
-37	-87	100	100	41.5
-35	-87	100	100	41.5
-33	-87	100	100	41.5
-31	-87	100	100	41.5
-29	-87	100	100	41.5
-27	-87	100	100	41.5
-25	-87	100	100	41.5
-23	-87	100	100	41.5
-21	-87	100	100	41.5
-19	-87	65	65	41.5
-17	-87	65	65	41.5
-15	-87	65	65	41.5
-13	-87	65	65	41.5
-11	-87	65	65	41.5
-9	-87	65	65	41.5
-7	-87	65	65	41.5
-5	-87	65	65	41.5
-3	-87	65	65	41.5
-1	-87	65	65	41.5
1	-87	65	65	41.5
3	-87	65	65	41.5
5	-87	65	65	41.5
7	-87	65	65	41.5
9	-87	65	65	41.5
11	-87	65	65	41.5
13	-87	65	65	41.5
15	-87	65	65	41.5
17	-87	65	65	41.5
19	-87	65	65	41.5
21	-87	65	65	41.5
23	-87	65	65	41.5
25	-87	65	65	41.5
27	-87	65	65	41.5
29	-87	65	65	41.5
31	-87	65	65	41.5
33	-87	65	65	41.5
35	-87	65	65	41.5
37	-87	65	65	41.5
39	-87	65	65	41.5
41	-87	65	65	41.5
43	-87	65	65	41.5
45	-87	65	65	41.5
47	-87	65	65	41.5
49	-87	65	65	41.5
51	-87	65	65	41.5
53	-87	65	65	41.5
55	-87	65	65	41.5
57	-87	65	65	41.5
59	-87	65	65	41.5
61	-87	65	65	41.5
63	-87	65	65	41.5
65	-87	65	65	41.5
67	-87	65	65	41.5
69	-87	65	65	41.5
71	-87	65	65	41.5
73	-87	65	65	41.5
75	-87	65	65	41.5
77	-87	65	65	41.5
79	-87	65	65	41.5
81	-87	65	65	41.5
83	-87	65	65	41.5
85	-87	65	65	41.5
87	-87	65	65	41.5
89	-87	65	65	41.5
